Date,Open,High,Low,Close,Adj Close,Volume
2023/3/9,15827.98047,15878.75,15770.66016,15770.66016,15770.66016,3556200
2023/3/10,15729.29004,15729.29004,15488.70996,15526.2002,15526.2002,3932200
2023/3/13,15514.03027,15571.16992,15349.66992,15560.49023,15560.49023,3141600
2023/3/14,15517.74023,15517.74023,15348.12012,15360.41992,15360.41992,3097800
2023/3/15,15425.99023,15526.73047,15387.58984,15387.58984,15387.58984,2998000
2023/3/16,15334.25,15334.25,15186.74023,15221.12012,15221.12012,3443900
2023/3/17,15337.96973,15452.95996,15337.96973,15452.95996,15452.95996,3434700
2023/3/20,15454.75,15488.98047,15399.07031,15419.96973,15419.96973,2433600
2023/3/21,15437.9502,15547.96973,15437.9502,15513.4502,15513.4502,2773500
2023/3/22,15535.16992,15760.45996,15535.16992,15760.45996,15760.45996,2773200
2023/3/23,15711.59961,15882.75,15680.83984,15863.9502,15863.9502,2652800
2023/3/24,15869.83984,15921.96973,15845.99023,15914.7002,15914.7002,2914300
2023/3/27,15873.66992,15902.05957,15821.62988,15830.30957,15830.30957,2706800
2023/3/28,15790.7002,15846.54004,15685.58984,15701.48047,15701.48047,2545400
2023/3/29,15766.29004,15811.2002,15681.09961,15769.75977,15769.75977,2376300
2023/3/30,15824.65039,15885.20996,15791.75,15849.42969,15849.42969,2266900
2023/3/31,15874.19043,15951.79981,15857.19043,15868.05957,15868.05957,2440300
2023/4/6,15838.07031,15838.07031,15733.29004,15810.76953,15810.76953,2513500
2023/4/7,15856.19043,15877.99023,15811.19043,15836.5,15836.5,2199900
2023/4/10,15850.94043,15919.75977,15850.94043,15876.16992,15876.16992,2220400
2023/4/11,15886.45996,15945.62988,15838.09961,15913.87988,15913.87988,2744200
2023/4/12,15914.15039,15944.32031,15867.01953,15932.96973,15932.96973,3138100
2023/4/13,15888.62988,15913.2002,15800.41992,15804.75977,15804.75977,3825100
2023/4/14,15854.25,15973.82031,15854.25,15929.42969,15929.42969,3492400
2023/4/17,15934.63965,15963.54981,15894.76953,15963.54981,15963.54981,3396900
2023/4/18,15967.88965,15967.88965,15851.70996,15869.44043,15869.44043,3344600
2023/4/19,15874.65039,15915.38965,15756.75,15770.46973,15770.46973,3554800
